Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ
FR_A;GNR_ST_MSW_CND_E-20;GCND;739;4;7;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35
FR_A;GNR_ENG_BGAS_CND_E-35;GCND;347;4;7;1;0;0.35;7.84;BIOGAS;12.71578864;0
FR_A;GNR_ST_WOOD_CND_E-50;GCND;739;4;7;1;0;0.5;1.152;WOOD;8.34659919;0
FR_A;GNR_WT_WIND_ONS;GWND;13759;4;7;0;0;1;2.744;WIND;0;0
FR_Offshore;GNR_WT_WIND_OFF;GWND;3000;4;7;0;0;1;3.822;WIND;0;0
NL_A;GNR_PV_SUN;GSOLE;3937;5;8;0;0;1;0;SUN;0;0
NL_A;GNR_ROR_WTR;GHYRR;38;5;8;0;0;1;0;WATER;0;0
NL_A;GNR_ST_MSW_CND_E-20;GCND;758;5;8;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35
NL_A;GNR_ST_WOOD_CND_E-50;GCND;160;5;8;1;0;0.5;1.152;WOOD;8.34659919;0
NL_Offshore;GNR_WT_WIND_OFF;GWND;2048;5;8;0;0;1;3.822;WIND;0;0
NL_A;GNR_WT_WIND_ONS;GWND;3669;5;8;0;0;1;2.744;WIND;0;0
PL_A;GNR_PV_SUN;GSOLE;2040;6;9;0;0;1;0;SUN;0;0
PL_A;BIAL-4_ST_COAL_CND;GCND;21;6;9;1;0;0.43;1.96;COAL;2.672923077;94.6
PL_A;GNR_GT_NGAS_CND_E-33;GCND;2600;6;9;1;0;0.33;4.41;NATGAS;8.324130812;56.1
PL_A;GNR_ST_BGAS_CND_E-37;GCND;364;6;9;1;0;0.37;1.53;BIOGAS;12.71578864;0
PL_A;GNR_ST_COAL_CND_E-45;GCND;3500;6;9;1;0;0.45;1.96;COAL;2.672923077;94.6
PL_A;GNR_ST_LIGN_CND_E-32;GCND;2860;6;9;1;0;0.32;1.96;LIGNITE;1.014863191;111.1
PL_A;ADAM-1_ST_LIGNITE_EXT;GEXT;1755;6;9;1;0.9;0.36;0.7056;LIGNITE;1.014863191;111.1
PL_A;BELC-1_ST_LIGNITE_EXT;GEXT;342;6;9;1;0.73;0.39;0.7644;LIGNITE;1.014863191;111.1
PL_A;CORZ-3_ST_COAL_EXT;GEXT;30;6;9;1;0.3;0.29;0.5684;COAL;2.672923077;94.6
PL_A;GNR_WT_WIND_ONS;GWND;10426;6;9;0;0;1;2.744;WIND;0;0
PL_Offshore;GNR_WT_WIND_OFF;GWND;1200;6;9;0;0;1;3.822;WIND;0;0
PL_A;CZEC-1_ST_COAL_EXT;GEXT;327;6;9;1;0.176;0.22;0.4312;COAL;2.672923077;94.6
PL_A;DOLN-1_ST_COAL_EXT;GEXT;204;6;9;1;3;0.3861;0.756756;COAL;2.672923077;94.6
PL_A;GNR_ST_WOOD_EXT_E-45;GEXT;4530;6;9;1;0.5;0.45;0.5184;WOOD;8.34659919;0
PL_A;KARO-1_ST_COAL_EXT;GEXT;48;6;9;1;0.29;0.3;0.588;COAL;2.672923077;94.6
PL_A;KOZI-1_ST_COAL_EXT;GEXT;200;6;9;1;0.55;0.39;0.7644;COAL;2.672923077;94.6
PL_A;KRLEG-3_ST_COAL_EXT;GEXT;191;6;9;1;0.4;0.33;0.6468;COAL;2.672923077;94.6
PL_A;LAZI-1_ST_COAL_EXT;GEXT;115;6;9;1;0.386;0.4;0.784;COAL;2.672923077;94.6
PL_A;LODZ-3_ST_STRAW_EXT;GEXT;88;6;9;1;0.24;0.29;0.2842;STRAW;7.160252815;0
PL_A;MIEC_ST_COAL_EXT;GEXT;48;6;9;1;0.14;0.13;0.2548;COAL;2.672923077;94.6
PL_A;RYBN-1_ST_COAL_EXT;GEXT;206;6;9;1;3.4;0.25;0.49;COAL;2.672923077;94.6
PL_A;SIEK-1_ST_COAL_EXT;GEXT;45;6;9;1;0.29;0.28;0.5488;COAL;2.672923077;94.6
PL_A;SIEK-8_ST_COAL_EXT;GEXT;191;6;9;1;0.29;0.28;0.5488;COAL;2.672923077;94.6
PL_A;ZABR-1_ST_COAL_EXT;GEXT;28;6;9;1;0.08;0.18;0.3528;COAL;2.672923077;94.6
PL_A;ZABR-2_ST_COAL_EXT;GEXT;30;6;9;1;0.1;0.18;0.3528;COAL;2.672923077;94.6
PL_A;ZERA-7_ST_COAL_EXT;GEXT;84;6;9;1;0.13;0.24;0.4704;COAL;2.672923077;94.6
PL_A;ZERA-8_ST_COAL_EXT;GEXT;84;6;9;1;0.13;0.24;0.4704;COAL;2.672923077;94.6
PL_Rural;GNR_ROR_WTR;GHYRR;953;6;9;0;0;1;0;WATER;0;0
PL_Rural;ADAM-2_ST_LIGNITE_CON;GCND;610;6;9;1;0;0.3;1.96;LIGNITE;1.014863191;111.1
PL_Rural;BELC-2_ST_LIGNITE_CON;GCND;3852;6;9;1;0;0.35;1.96;LIGNITE;1.014863191;111.1
PL_Rural;DOLN-2_ST_COAL_CND;GCND;1425;6;9;1;0;0.35;1.96;COAL;2.672923077;94.6
PL_Rural;GNR_ST_NUCL_CND_E-33;GCND;2776;6;9;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0
PL_Rural;KOZI-2_ST_COAL_CND;GCND;1275;6;9;1;0;0.35;1.96;COAL;2.672923077;94.6
PL_Rural;LAZI-2_ST_COAL_CND;GCND;938;6;9;1;0;0.34;1.96;COAL;2.672923077;94.6
PL_Rural;LAZI-6_ST_COAL_CND;GCND;427;6;9;1;0;0.45;1.96;COAL;2.672923077;94.6
PL_Rural;OPOL-1_ST_COAL_CND;GCND;1420;6;9;1;0;0.4;1.96;COAL;2.672923077;94.6
PL_Rural;OSTRB-1_ST_COAL_CND;GCND;688;6;9;1;0;0.35;1.96;COAL;2.672923077;94.6
PL_Rural;PATN2-1_ST_LIGNITE_CON;GCND;441;6;9;1;0;0.41;1.96;LIGNITE;1.014863191;111.1
PL_Rural;POLA-2_ST_COAL_CND;GCND;1656;6;9;1;0;0.38;1.96;COAL;2.672923077;94.6
PL_Rural;RYBN-2_ST_COAL_CND;GCND;2651;6;9;1;0;0.35;1.96;COAL;2.672923077;94.6
