Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;Fraction of category for country
DK1_Medium;GNR_ENG_LIGHTOIL_CND_E-41;GCND;2;3;6;1;0;0.41;5.292;LIGHTOIL;13.27018506;74;0.006379585
DK1_NoDH;GNR_ENG_LIGHTOIL_CND_E-41;GCND;58;3;6;1;0;0.41;5.292;LIGHTOIL;13.27018506;74;0.23239918
DK1_NoDH;GNR_ENG_NGAS_CND_E-41;GCND;150.0501405;3;6;1;0;0.41;5.292;NATGAS;7.64658528;56.1;0.137930102
DK1_NoDH;GNR_PV_SUN;GSOLE;4302;3;6;0;0;1;0;SUN;0;0;
DK1_NoDH;GNR_ROR_WTR;GHYRR;7;3;6;0;0;1;0;WATER;0;0;
DK1_NoDH;GNR_WT_WIND_ONS;GWND;7945;3;6;0;0;1;2.744;WIND;0;0;
DK1_Offshore;GNR_WT_WIND_OFF;GWND;3685;3;6;0;0;1;3.822;WIND;0;0;
DK1_Rural;GNR_ENG_LIGHTOIL_CND_E-33;GCND;1;3;6;1;0;0.33;5.292;LIGHTOIL;13.27018506;74;0.005126452
DK1_Rural;GNR_ENG_LIGHTOIL_CND_E-42;GCND;1;3;6;1;0;0.42;5.292;LIGHTOIL;13.27018506;74;0.002164502
DK1_Rural;GNR_ENG_LIGHTOIL_CND_E-43;GCND;3;3;6;1;0;0.43;5.292;LIGHTOIL;13.27018506;74;0.01070859
FR_A;GNR_PV_SUN;GSOLE;37000;4;7;0;0;1;0;SUN;0;0;
FR_A;GNR_ROR_WTR;GHYRR;37266;4;7;0;0;1;0;WATER;0;0;
FR_A;GNR_ST_COAL_CND_E-33;GCND;0;4;7;1;0;0.33;1.96;COAL;2.572688462;94.6;
FR_A;GNR_ST_FUELOIL_CND_E-35;GCND;1643.278981;4;7;1;0;0.35;0.8036;FUELOIL;8.763766511;74;0.5
FR_A;GNR_GT_FUELOIL_CND_E-32;GCND;1643.278981;4;7;1;0;0.32;4.41;FUELOIL;8.763766511;74;0.5
FR_A;GNR_CC_NGAS_CND_E-56;GCND;12188.15801;4;7;1;0;0.56;4.41;NATGAS;7.64658528;56.1;0.861153158
FR_A;GNR_GT_NGAS_CND_E-38;GCND;1369.171477;4;7;1;0;0.38;4.41;NATGAS;7.64658528;56.1;0.096738682
FR_A;GNR_ST_NGAS_CND_E-36;GCND;595.9693727;4;7;1;0;0.36;0.8036;NATGAS;7.64658528;56.1;0.04210816
FR_A;GNR_ST_NUCL_CND_E-33;GCND;61370;4;7;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0;
FR_A;GNR_ST_MSW_CND_E-20;GCND;929;4;7;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35;
FR_A;GNR_ENG_BGAS_CND_E-35;GCND;516.1552275;4;7;1;0;0.35;7.84;BIOGAS;12.71578864;0;0.319521179
FR_A;GNR_ST_WOOD_CND_E-50;GCND;1099.24701;4;7;1;0;0.5;1.152;WOOD;7.293515991;0;0.680478821
FR_A;GNR_WT_WIND_ONS;GWND;41869;4;7;0;0;1;2.744;WIND;0;0;
FR_Offshore;GNR_WT_WIND_OFF;GWND;1424;4;7;0;0;1;3.822;WIND;0;0;
NL_A;GNR_CC_NGAS_CND_E-47;GCND;20145;5;8;1;0;0.47;4.41;NATGAS;7.64658528;56.1;
NL_A;GNR_PV_SUN;GSOLE;57096;5;8;0;0;1;0;SUN;0;0;
NL_A;GNR_ROR_WTR;GHYRR;54;5;8;0;0;1;0;WATER;0;0;
NL_A;GNR_ST_COAL_CND_E-40;GCND;0;5;8;1;0;0.4;1.96;COAL;2.572688462;94.6;
NL_A;GNR_ST_MSW_CND_E-20;GCND;786;5;8;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35;
NL_A;GNR_ST_NUCL_CND_E-33;GCND;486;5;8;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0;
NL_A;GNR_ST_WOOD_CND_E-50;GCND;499;5;8;1;0;0.5;1.152;WOOD;7.293515991;0;
NL_Offshore;GNR_WT_WIND_OFF;GWND;9285;5;8;0;0;1;3.822;WIND;0;0;
NL_A;GNR_WT_WIND_ONS;GWND;12435;5;8;0;0;1;2.744;WIND;0;0;
PL_A;GNR_PV_SUN;GSOLE;26324;6;9;0;0;1;0;SUN;0;0;
PL_A;BIAL-4_ST_COAL_CND;GCND;12.16984843;6;9;1;0;0.43;1.96;COAL;2.572688462;94.6;0.000639072
PL_A;GNR_GT_NGAS_CND_E-33;GCND;3767.887499;6;9;1;0;0.33;4.41;NATGAS;7.64658528;56.1;0.843334415
PL_A;GNR_ST_BGAS_CND_E-37;GCND;55.48776848;6;9;1;0;0.37;1.53;BIOGAS;12.71578864;0;0.070107858
PL_A;GNR_ST_COAL_CND_E-45;GCND;2028.308072;6;9;1;0;0.45;1.96;COAL;2.572688462;94.6;0.106512003
PL_A;GNR_ST_LIGN_CND_E-32;GCND;1569.696416;6;9;1;0;0.32;1.96;LIGNITE;0.883939334;111.1;0.082429051
PL_A;ADAM-1_ST_LIGNITE_EXT;GEXT;963.2228005;6;9;1;0.9;0.36;0.7056;LIGNITE;0.883939334;111.1;0.050581463
PL_A;BELC-1_ST_LIGNITE_EXT;GEXT;187.704956;6;9;1;0.73;0.39;0.7644;LIGNITE;0.883939334;111.1;0.0098569
PL_A;CORZ-3_ST_COAL_EXT;GEXT;17.38549776;6;9;1;0.3;0.29;0.5684;COAL;2.572688462;94.6;0.00091296
PL_A;GNR_WT_WIND_ONS;GWND;18020;6;9;0;0;1;2.744;WIND;0;0;
PL_Offshore;GNR_WT_WIND_OFF;GWND;0;6;9;0;0;1;3.822;WIND;0;0;
PL_A;CZEC-1_ST_COAL_EXT;GEXT;189.5019256;6;9;1;0.176;0.22;0.4312;COAL;2.572688462;94.6;0.009951264
PL_A;DOLN-1_ST_COAL_EXT;GEXT;118.2213848;6;9;1;3;0.3861;0.756756;COAL;2.572688462;94.6;0.006208128
PL_A;GNR_ST_WOOD_EXT_E-45;GEXT;690.5483299;6;9;1;0.5;0.45;0.5184;WOOD;7.293515991;0;0.872496148
