Area;Generator;Type;Capacity;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity
DK1_Large;GNR_ENG_NGAS_BP_E-43;GBPR;3.04;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;1.44
DK1_Large;GNR_ENG_NGAS_BP_E-46;GBPR;0.73;6;1;0.9;0.971111111;2.43432;NATGAS;8.324130812;56.1;0.46;0.345789474
DK1_Large;GNR_ST_STRW_BP_E-26;GBPR;31;6;1;0.444656474;0.844721049;0.2548;STRAW;7.160252815;0;0.26;9.541611415
DK1_Large;GNR_ST_WOODCHI_BP_E-23;GBPR;7.5;6;1;0.34;0.906470588;0.85652;WOODCHIPS;6.2;0;0.23;1.902985075
DK1_Large;GNR_ST_WOODCHI_BP_E-30;GBPR;92;6;1;0.34;1.182352941;1.1172;WOODCHIPS;6.2;0;0.3;23.34328358
DK1_MedSmall;GNR_ENG_NGAS_BP_E-41;GBPR;3.02;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;1.430526316
DK1_Medium;GNR_ENG_BGAS_BP_E-41;GBPR;2.96;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;1.333626374
DK1_Medium;GNR_ENG_NGAS_BP_E-41;GBPR;4.3;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;2.036842105
DK1_Medium;GNR_ENG_NGAS_BP_E-42;GBPR;6.2;6;1;0.9;0.886666667;2.22264;NATGAS;8.324130812;56.1;0.42;2.936842105
DK1_Medium;GNR_ENG_NGAS_BP_E-43;GBPR;1.42;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;0.672631579
DK1_Medium;GNR_ENG_NGAS_BP_E-44;GBPR;4.68;6;1;0.9;0.928888889;2.32848;NATGAS;8.324130812;56.1;0.44;2.216842105
DK1_Rural;GNR_ENG_BGAS_BP_E-30;GBPR;6;6;1;0.82;0.665853659;2.352;BIOGAS;12.71578864;0;0.3;2.703296703
DK1_Rural;GNR_ENG_BGAS_BP_E-37;GBPR;0.635;6;1;0.82;0.821219512;2.9008;BIOGAS;12.71578864;0;0.37;0.286098901
DK1_Rural;GNR_ENG_BGAS_BP_E-39;GBPR;0.62;6;1;0.82;0.865609756;3.0576;BIOGAS;12.71578864;0;0.39;0.279340659
DK1_Rural;GNR_ENG_BGAS_BP_E-40;GBPR;2.1;6;1;0.82;0.887804878;3.136;BIOGAS;12.71578864;0;0.4;0.946153846
DK1_Rural;GNR_ENG_BGAS_BP_E-41;GBPR;1.18;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;0.531648352
DK1_Rural;GNR_ENG_BGAS_BP_E-42;GBPR;6.68;6;1;0.82;0.932195122;3.2928;BIOGAS;12.71578864;0;0.42;3.00967033
DK1_Rural;GNR_ENG_BGAS_BP_E-43;GBPR;3.04;6;1;0.82;0.954390244;3.3712;BIOGAS;12.71578864;0;0.43;1.36967033
DK1_Rural;GNR_ENG_LIGHTOIL_BP_E-37;GBPR;16;6;1;0.9;0.781111111;1.95804;LIGHTOIL;16.60671043;74;0.37;7.578947368
DK1_Rural;GNR_ENG_NGAS_BP_E-37;GBPR;7.17;6;1;0.9;0.781111111;1.95804;NATGAS;8.324130812;56.1;0.37;3.396315789
DK1_Rural;GNR_ENG_NGAS_BP_E-38;GBPR;3;6;1;0.9;0.802222222;2.01096;NATGAS;8.324130812;56.1;0.38;1.421052632
DK1_Rural;GNR_ENG_NGAS_BP_E-40;GBPR;4.62;6;1;0.9;0.844444444;2.1168;NATGAS;8.324130812;56.1;0.4;2.188421053
DK1_Rural;GNR_ENG_NGAS_BP_E-41;GBPR;14.65;6;1;0.9;0.865555556;2.16972;NATGAS;8.324130812;56.1;0.41;6.939473684
DK1_Rural;GNR_ENG_NGAS_BP_E-42;GBPR;33.902;6;1;0.9;0.886666667;2.22264;NATGAS;8.324130812;56.1;0.42;16.05884211
DK1_Rural;GNR_ENG_NGAS_BP_E-43;GBPR;15.832;6;1;0.9;0.907777778;2.27556;NATGAS;8.324130812;56.1;0.43;7.499368421
DK1_Rural;GNR_ENG_NGAS_BP_E-44;GBPR;13.16;6;1;0.9;0.928888889;2.32848;NATGAS;8.324130812;56.1;0.44;6.233684211
DK1_Rural;GNR_ENG_NGAS_BP_E-45;GBPR;5.1;6;1;0.9;0.95;2.3814;NATGAS;8.324130812;56.1;0.45;2.415789474
DK1_Rural;GNR_ENG_NGAS_BP_E-46;GBPR;1.82;6;1;0.9;0.971111111;2.43432;NATGAS;8.324130812;56.1;0.46;0.862105263
DK1_Rural;GNR_ST_WOODCHI_BP_E-17;GBPR;0.75;6;1;0.34;0.67;0.63308;WOODCHIPS;6.2;0;0.17;0.190298507
DK1_Small;GNR_ENG_NGAS_BP_E-38;GBPR;1.13;6;1;0.9;0.802222222;2.01096;NATGAS;8.324130812;56.1;0.38;0.535263158
PL_A;BIAL-1_ST_STRAW_BP;GBPR;128;9;1;0.4;0.91;0.2548;STRAW;7.160252815;0;0.26;36.57142857
PL_A;BIEL-4_ST_COAL_BP;GBPR;48;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;14.89655172
PL_A;CHOR2-1_ST_COAL_BP;GBPR;272;9;1;0.6;0.906666667;0.6664;COAL;2.672923077;94.6;0.34;102
PL_A;GDAN2-1_ST_COAL_BP;GBPR;737;9;1;0.45;0.902222222;0.5488;COAL;2.672923077;94.6;0.28;228.7241379
PL_A;GNR_ST_COAL_BP_E-15;GBPR;680;9;1;0.2;0.9;0.294;COAL;2.672923077;94.6;0.15;113.3333333
