Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
PL_A;GORZ-4_ST_NGAS_BP;GBPR;75.35774864;6;9;1;0.5;0.9;0.459;NATGAS;7.64658528;56.1;0.3;25.11924955;0.016866688
PL_A;JAWO2-1_ST_COAL_BP;GBPR;1258.130522;6;9;1;0.5;0.9;0.588;COAL;2.572688462;94.6;0.3;419.3768406;0.066067874
PL_A;KARO-2_ST_COAL_BP;GBPR;114.7442853;6;9;1;0.5;0.9;0.588;COAL;2.572688462;94.6;0.3;38.24809509;0.006025536
PL_A;KATO_ST_COAL_BP;GBPR;71.28054082;6;9;1;0.7;0.898571429;0.7252;COAL;2.572688462;94.6;0.37;29.35081093;0.003743136
PL_A;KRLEG-1_ST_COAL_BP;GBPR;124.5960673;6;9;1;0.6;0.906666667;0.6664;COAL;2.572688462;94.6;0.34;46.72352524;0.00654288
PL_A;NOWA-1_ST_NGAS_BP;GBPR;184.0468143;6;9;1;1;0.9;0.6885;NATGAS;7.64658528;56.1;0.45;92.02340716;0.041193643
PL_A;RZES-2_ST_NGAS_BP;GBPR;46.37399779;6;9;1;1;0.9;0.6885;NATGAS;7.64658528;56.1;0.45;23.18699889;0.0103795
PL_A;SIEK-1_ST_COAL_BP;GBPR;180.8091768;6;9;1;0.45;0.902222222;0.5488;COAL;2.572688462;94.6;0.28;56.11319278;0.009494784
PL_A;SIER-1_ST_COAL_BP;GBPR;361.0388369;6;9;1;1;1;0.98;COAL;2.572688462;94.6;0.5;180.5194184;0.018959137
PL_A;SKAW-1_ST_COAL_BP;GBPR;450.2843921;6;9;1;0.7;0.607142857;0.49;COAL;2.572688462;94.6;0.25;185.4112203;0.023645665
PL_A;TYCH_ST_COAL_BP;GBPR;20.86259732;6;9;1;0.5;0.9;0.588;COAL;2.572688462;94.6;0.3;6.954199106;0.001095552
PL_A;ZABR-3_ST_COAL_BP;GBPR;5.795165921;6;9;1;0.26;0.920769231;0.3724;COAL;2.572688462;94.6;0.19;1.195827888;0.00030432
PL_A;ZIEL-1_ST_NGAS_BP;GBPR;14.49187543;6;9;1;1;0.9;0.6885;NATGAS;7.64658528;56.1;0.45;7.245937713;0.003243594
PL_A;ZIEL-2_ST_COAL_BP;GBPR;6.374682513;6;9;1;1;1;0.98;COAL;2.572688462;94.6;0.5;3.187341256;0.000334752
PL_A;ZIEL-3_ST_NGAS_BP;GBPR;173.9025006;6;9;1;1;0.9;0.6885;NATGAS;7.64658528;56.1;0.45;86.95125032;0.038923127
PL_A;ZIEL-4_ST_COAL_BP;GBPR;34.77099553;6;9;1;1;1;0.98;COAL;2.572688462;94.6;0.5;17.38549776;0.00182592
PL_A;GNR_ST_MSW_BP_E-15;GBPR;0;6;9;1;0.2;0.9;3.6456;MUNIWASTE;-3.259066353;35;0.15;0;1
PL_A;GNR_ST_NGAS_BP_E-15;GBPR;205.784623;6;9;1;0.2;0.9;0.2295;NATGAS;7.64658528;56.1;0.15;34.29743717;0.046059033
PL_Rural;SZCZ-1_ST_COAL_BP;GBPR;31.87341257;6;9;1;0.45;0.902222222;0.5488;COAL;2.572688462;94.6;0.28;9.891748728;0.00167376
PL_Rural;TURO-1_ST_COAL_BP;GBPR;789.3015983;6;9;1;2;0.3;0.392;COAL;2.572688462;94.6;0.2;526.2010655;0.041448385
