Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
DE4-E_A;GNR_ST_FUELOIL_BP_E-36;GBPR;444.7938321;2;4;1;0.7;0.874285714;0.289296;FUELOIL;8.763766511;74;0.36;183.1504015;0.085053998
DE4-E_A;GNR_ST_FUELOIL_BP_E-38;GBPR;0;2;4;1;0.7;0.922857143;0.305368;FUELOIL;8.763766511;74;0.38;0;0
DE4-E_A;GNR_ST_LIGN_BP_E-28;GBPR;0;2;4;1;0.75;0.653333333;0.5488;LIGNITE;0.883939334;111.1;0.28;0;0.006364128
DE4-E_A;GNR_ST_LIGN_BP_E-39;GBPR;0;2;4;1;0.75;0.91;0.7644;LIGNITE;0.883939334;111.1;0.39;0;0.019553409
DE4-E_A;GNR_ST_MSW_BP_E-33;GBPR;435;2;4;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;0;0.227814463
DE4-E_A;GNR_ST_NGAS_BP_E-31;GBPR;0;2;4;1;0.7;0.752857143;0.249116;NATGAS;7.64658528;56.1;0.31;0;0
DE4-E_A;GNR_ST_NGAS_BP_E-38;GBPR;799.723438;2;4;1;0.7;0.922857143;0.305368;NATGAS;7.64658528;56.1;0.38;329.2978862;0.022032694
DE4-N_A;GNR_CC_COAL_BP_E-49;GBPR;0;2;5;1;1.2;0.898333333;3.620689655;COAL;2.572688462;94.6;0.49;0;0.003422313
DE4-N_A;GNR_CC_FUELOIL_BP_E-38;GBPR;43.89413003;2;5;1;1.2;0.696666667;1.6758;FUELOIL;8.763766511;74;0.38;23.94225274;0.008393487
DE4-N_A;GNR_CC_NGAS_BP_E-59;GBPR;306.5353509;2;5;1;1.2;1.045;2.5137;NATGAS;7.64658528;56.1;0.57;167.2011005;0.008445169
DE4-N_A;GNR_ENG_BGAS_BP_E-45;GBPR;0.343213315;2;5;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;0.154634571;3.37E-05
DE4-N_A;GNR_ST_BGAS_BP_E-38;GBPR;25.43130208;2;5;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;10.47171262;0.002497091
DE4-N_A;GNR_ST_COAL_BP_E-38;GBPR;0;2;5;1;0.75;0.886666667;0.7448;COAL;2.572688462;94.6;0.38;0;0
DE4-N_A;GNR_ST_FUELOIL_BP_E-34;GBPR;65.10962595;2;5;1;0.7;0.825714286;0.273224;FUELOIL;8.763766511;74;0.34;26.80984598;0.012450339
DE4-N_A;GNR_ST_FUELOIL_BP_E-38;GBPR;0;2;5;1;0.7;0.922857143;0.305368;FUELOIL;8.763766511;74;0.38;0;0
DE4-N_A;GNR_ST_MSW_BP_E-33;GBPR;26;2;5;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;0;0.013689805
