Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0,0,1000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,350,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1000,0,0,0,0,10000,0
0,0,0,0,740,0,0,700,0,3000,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,1150,0,0,700,0,0,0,0,0,4000
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3000,0,0,0,0,2500,1000
0,0,0,0,10000,0,0,0,0,2500,0,2500
0,0,0,0,0,0,0,4000,0,1000,2500,0
